"wave_id","city","parity_layer","source_name","source_url","source_type","city_specific","provenance_status","authentication_status","replay_status","saturation_status","eligible_for_lock","notes"
"20260511_220947","Nashville","city_boundary","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Nashville","neighborhoods_or_districts","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Nashville","council_districts","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Nashville","police_beats_or_reporting_districts","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Nashville","fire_stations_or_service_areas","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Nashville","parcels_or_zoning","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Nashville","streets_or_transport_corridors","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Nashville","public_facilities","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Nashville","parks","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Nashville","schools","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Nashville","public_safety_incidents_or_calls","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Nashville","permits_or_code_enforcement","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Nashville","civic_governance","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Nashville","public_works_or_infrastructure","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Memphis","city_boundary","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Memphis","neighborhoods_or_districts","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Memphis","council_districts","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Memphis","police_beats_or_reporting_districts","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Memphis","fire_stations_or_service_areas","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Memphis","parcels_or_zoning","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Memphis","streets_or_transport_corridors","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Memphis","public_facilities","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Memphis","parks","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Memphis","schools","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Memphis","public_safety_incidents_or_calls","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Memphis","permits_or_code_enforcement","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Memphis","civic_governance","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Memphis","public_works_or_infrastructure","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Knoxville","city_boundary","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Knoxville","neighborhoods_or_districts","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Knoxville","council_districts","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Knoxville","police_beats_or_reporting_districts","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Knoxville","fire_stations_or_service_areas","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Knoxville","parcels_or_zoning","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Knoxville","streets_or_transport_corridors","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Knoxville","public_facilities","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Knoxville","parks","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Knoxville","schools","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Knoxville","public_safety_incidents_or_calls","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Knoxville","permits_or_code_enforcement","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Knoxville","civic_governance","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Knoxville","public_works_or_infrastructure","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Chattanooga","city_boundary","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Chattanooga","neighborhoods_or_districts","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Chattanooga","council_districts","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Chattanooga","police_beats_or_reporting_districts","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Chattanooga","fire_stations_or_service_areas","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Chattanooga","parcels_or_zoning","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Chattanooga","streets_or_transport_corridors","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Chattanooga","public_facilities","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Chattanooga","parks","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Chattanooga","schools","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Chattanooga","public_safety_incidents_or_calls","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Chattanooga","permits_or_code_enforcement","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
"20260511_220947","Chattanooga","civic_governance","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail | strict_validator_fail"
