"city","state","category","required_source_name","required_source_url","required_evidence_text","required_service_area","reviewed","accepted_for_import","city_local_verified","provenance_verified","category_verified","reject_if"
"New Orleans","Louisiana","city_government_directory","FILL_REAL_PUBLIC_SOURCE_NAME","FILL_REAL_PUBLIC_SOURCE_URL","FILL_EVIDENCE_FROM_SOURCE_SHOWING_CITY_AND_CATEGORY","FILL_CITY_OR_SERVICE_AREA","TRUE","TRUE","TRUE","TRUE","TRUE","Not city-local; no public URL; no evidence text; wrong category; copied from Long Beach/LA; private person target; inferred contact only"
"New Orleans","Louisiana","business_registry","FILL_REAL_PUBLIC_SOURCE_NAME","FILL_REAL_PUBLIC_SOURCE_URL","FILL_EVIDENCE_FROM_SOURCE_SHOWING_CITY_AND_CATEGORY","FILL_CITY_OR_SERVICE_AREA","TRUE","TRUE","TRUE","TRUE","TRUE","Not city-local; no public URL; no evidence text; wrong category; copied from Long Beach/LA; private person target; inferred contact only"
"New Orleans","Louisiana","chamber_of_commerce","FILL_REAL_PUBLIC_SOURCE_NAME","FILL_REAL_PUBLIC_SOURCE_URL","FILL_EVIDENCE_FROM_SOURCE_SHOWING_CITY_AND_CATEGORY","FILL_CITY_OR_SERVICE_AREA","TRUE","TRUE","TRUE","TRUE","TRUE","Not city-local; no public URL; no evidence text; wrong category; copied from Long Beach/LA; private person target; inferred contact only"
"New Orleans","Louisiana","local_media_directory","FILL_REAL_PUBLIC_SOURCE_NAME","FILL_REAL_PUBLIC_SOURCE_URL","FILL_EVIDENCE_FROM_SOURCE_SHOWING_CITY_AND_CATEGORY","FILL_CITY_OR_SERVICE_AREA","TRUE","TRUE","TRUE","TRUE","TRUE","Not city-local; no public URL; no evidence text; wrong category; copied from Long Beach/LA; private person target; inferred contact only"
"New Orleans","Louisiana","education_institutions","FILL_REAL_PUBLIC_SOURCE_NAME","FILL_REAL_PUBLIC_SOURCE_URL","FILL_EVIDENCE_FROM_SOURCE_SHOWING_CITY_AND_CATEGORY","FILL_CITY_OR_SERVICE_AREA","TRUE","TRUE","TRUE","TRUE","TRUE","Not city-local; no public URL; no evidence text; wrong category; copied from Long Beach/LA; private person target; inferred contact only"
"New Orleans","Louisiana","community_organizations","FILL_REAL_PUBLIC_SOURCE_NAME","FILL_REAL_PUBLIC_SOURCE_URL","FILL_EVIDENCE_FROM_SOURCE_SHOWING_CITY_AND_CATEGORY","FILL_CITY_OR_SERVICE_AREA","TRUE","TRUE","TRUE","TRUE","TRUE","Not city-local; no public URL; no evidence text; wrong category; copied from Long Beach/LA; private person target; inferred contact only"
"New Orleans","Louisiana","venue_and_events","FILL_REAL_PUBLIC_SOURCE_NAME","FILL_REAL_PUBLIC_SOURCE_URL","FILL_EVIDENCE_FROM_SOURCE_SHOWING_CITY_AND_CATEGORY","FILL_CITY_OR_SERVICE_AREA","TRUE","TRUE","TRUE","TRUE","TRUE","Not city-local; no public URL; no evidence text; wrong category; copied from Long Beach/LA; private person target; inferred contact only"
"New Orleans","Louisiana","retail_and_dealers","FILL_REAL_PUBLIC_SOURCE_NAME","FILL_REAL_PUBLIC_SOURCE_URL","FILL_EVIDENCE_FROM_SOURCE_SHOWING_CITY_AND_CATEGORY","FILL_CITY_OR_SERVICE_AREA","TRUE","TRUE","TRUE","TRUE","TRUE","Not city-local; no public URL; no evidence text; wrong category; copied from Long Beach/LA; private person target; inferred contact only"
"New Orleans","Louisiana","clubs_and_associations","FILL_REAL_PUBLIC_SOURCE_NAME","FILL_REAL_PUBLIC_SOURCE_URL","FILL_EVIDENCE_FROM_SOURCE_SHOWING_CITY_AND_CATEGORY","FILL_CITY_OR_SERVICE_AREA","TRUE","TRUE","TRUE","TRUE","TRUE","Not city-local; no public URL; no evidence text; wrong category; copied from Long Beach/LA; private person target; inferred contact only"
"New Orleans","Louisiana","geospatial_open_data","FILL_REAL_PUBLIC_SOURCE_NAME","FILL_REAL_PUBLIC_SOURCE_URL","FILL_EVIDENCE_FROM_SOURCE_SHOWING_CITY_AND_CATEGORY","FILL_CITY_OR_SERVICE_AREA","TRUE","TRUE","TRUE","TRUE","TRUE","Not city-local; no public URL; no evidence text; wrong category; copied from Long Beach/LA; private person target; inferred contact only"
