"source_url","source_title","source_category","city","state","organization_name_or_dataset_name","evidence_text","retrieved_at","manual_review_status","address","latitude","longitude","website","public_phone","public_email","source_notes"
"","","city_government_directory","New Orleans","Louisiana","","","2026-05-11T08:05:14.4076730Z","PENDING_REVIEW","",,,"","","",""
"","","business_registry","New Orleans","Louisiana","","","2026-05-11T08:05:14.4076730Z","PENDING_REVIEW","",,,"","","",""
"","","chamber_of_commerce","New Orleans","Louisiana","","","2026-05-11T08:05:14.4086731Z","PENDING_REVIEW","",,,"","","",""
"","","local_media_directory","New Orleans","Louisiana","","","2026-05-11T08:05:14.4086731Z","PENDING_REVIEW","",,,"","","",""
"","","education_institutions","New Orleans","Louisiana","","","2026-05-11T08:05:14.4086731Z","PENDING_REVIEW","",,,"","","",""
"","","community_organizations","New Orleans","Louisiana","","","2026-05-11T08:05:14.4086731Z","PENDING_REVIEW","",,,"","","",""
"","","venue_and_events","New Orleans","Louisiana","","","2026-05-11T08:05:14.4086731Z","PENDING_REVIEW","",,,"","","",""
"","","retail_and_dealers","New Orleans","Louisiana","","","2026-05-11T08:05:14.4086731Z","PENDING_REVIEW","",,,"","","",""
"","","clubs_and_associations","New Orleans","Louisiana","","","2026-05-11T08:05:14.4086731Z","PENDING_REVIEW","",,,"","","",""
"","","geospatial_open_data","New Orleans","Louisiana","","","2026-05-11T08:05:14.4086731Z","PENDING_REVIEW","",,,"","","",""
"","","transit_and_location_data","New Orleans","Louisiana","","","2026-05-11T08:05:14.4086731Z","PENDING_REVIEW","",,,"","","",""
"","","public_safety_and_civic_resources","New Orleans","Louisiana","","","2026-05-11T08:05:14.4086731Z","PENDING_REVIEW","",,,"","","",""
"","","tourism_and_visitor_bureau","New Orleans","Louisiana","","","2026-05-11T08:05:14.4086731Z","PENDING_REVIEW","",,,"","","",""
"","","neighborhood_districts","New Orleans","Louisiana","","","2026-05-11T08:05:14.4086731Z","PENDING_REVIEW","",,,"","","",""
"","","local_nonprofits","New Orleans","Louisiana","","","2026-05-11T08:05:14.4086731Z","PENDING_REVIEW","",,,"","","",""
