"source_url","source_title","source_category","city","state","organization_name_or_dataset_name","evidence_text","retrieved_at","manual_review_status","address","latitude","longitude","website","public_phone","public_email","source_notes"
"","","city_government_directory","New York City","New York","","","2026-05-11T08:05:14.3830687Z","PENDING_REVIEW","",,,"","","",""
"","","business_registry","New York City","New York","","","2026-05-11T08:05:14.3830687Z","PENDING_REVIEW","",,,"","","",""
"","","chamber_of_commerce","New York City","New York","","","2026-05-11T08:05:14.3830687Z","PENDING_REVIEW","",,,"","","",""
"","","local_media_directory","New York City","New York","","","2026-05-11T08:05:14.3830687Z","PENDING_REVIEW","",,,"","","",""
"","","education_institutions","New York City","New York","","","2026-05-11T08:05:14.3830687Z","PENDING_REVIEW","",,,"","","",""
"","","community_organizations","New York City","New York","","","2026-05-11T08:05:14.3830687Z","PENDING_REVIEW","",,,"","","",""
"","","venue_and_events","New York City","New York","","","2026-05-11T08:05:14.3830687Z","PENDING_REVIEW","",,,"","","",""
"","","retail_and_dealers","New York City","New York","","","2026-05-11T08:05:14.3830687Z","PENDING_REVIEW","",,,"","","",""
"","","clubs_and_associations","New York City","New York","","","2026-05-11T08:05:14.3830687Z","PENDING_REVIEW","",,,"","","",""
"","","geospatial_open_data","New York City","New York","","","2026-05-11T08:05:14.3830687Z","PENDING_REVIEW","",,,"","","",""
"","","transit_and_location_data","New York City","New York","","","2026-05-11T08:05:14.3830687Z","PENDING_REVIEW","",,,"","","",""
"","","public_safety_and_civic_resources","New York City","New York","","","2026-05-11T08:05:14.3830687Z","PENDING_REVIEW","",,,"","","",""
"","","tourism_and_visitor_bureau","New York City","New York","","","2026-05-11T08:05:14.3840679Z","PENDING_REVIEW","",,,"","","",""
"","","neighborhood_districts","New York City","New York","","","2026-05-11T08:05:14.3840679Z","PENDING_REVIEW","",,,"","","",""
"","","local_nonprofits","New York City","New York","","","2026-05-11T08:05:14.3840679Z","PENDING_REVIEW","",,,"","","",""
