"city","state","state_code","folder","category","acquisition_query_1","acquisition_query_2","acquisition_query_3","acquisition_query_4","acquisition_query_5","source_name","source_url","source_type","service_area","evidence_text","reviewed","accepted_for_import","rejected","rejection_reason","city_local_verified","provenance_verified","category_verified","notes"
"Seattle","Washington","WA","seattle","city_government_directory","Seattle Washington city_government_directory public directory","Seattle WA city_government_directory official","Seattle city_government_directory open data","Seattle city_government_directory registry","Seattle city_government_directory organizations","","","","","","","","","","","","",""
"Seattle","Washington","WA","seattle","business_registry","Seattle Washington business_registry public directory","Seattle WA business_registry official","Seattle business_registry open data","Seattle business_registry registry","Seattle business_registry organizations","","","","","","","","","","","","",""
"Seattle","Washington","WA","seattle","chamber_of_commerce","Seattle Washington chamber_of_commerce public directory","Seattle WA chamber_of_commerce official","Seattle chamber_of_commerce open data","Seattle chamber_of_commerce registry","Seattle chamber_of_commerce organizations","","","","","","","","","","","","",""
"Seattle","Washington","WA","seattle","local_media_directory","Seattle Washington local_media_directory public directory","Seattle WA local_media_directory official","Seattle local_media_directory open data","Seattle local_media_directory registry","Seattle local_media_directory organizations","","","","","","","","","","","","",""
"Seattle","Washington","WA","seattle","education_institutions","Seattle Washington education_institutions public directory","Seattle WA education_institutions official","Seattle education_institutions open data","Seattle education_institutions registry","Seattle education_institutions organizations","","","","","","","","","","","","",""
"Seattle","Washington","WA","seattle","community_organizations","Seattle Washington community_organizations public directory","Seattle WA community_organizations official","Seattle community_organizations open data","Seattle community_organizations registry","Seattle community_organizations organizations","","","","","","","","","","","","",""
"Seattle","Washington","WA","seattle","venue_and_events","Seattle Washington venue_and_events public directory","Seattle WA venue_and_events official","Seattle venue_and_events open data","Seattle venue_and_events registry","Seattle venue_and_events organizations","","","","","","","","","","","","",""
"Seattle","Washington","WA","seattle","retail_and_dealers","Seattle Washington retail_and_dealers public directory","Seattle WA retail_and_dealers official","Seattle retail_and_dealers open data","Seattle retail_and_dealers registry","Seattle retail_and_dealers organizations","","","","","","","","","","","","",""
"Seattle","Washington","WA","seattle","clubs_and_associations","Seattle Washington clubs_and_associations public directory","Seattle WA clubs_and_associations official","Seattle clubs_and_associations open data","Seattle clubs_and_associations registry","Seattle clubs_and_associations organizations","","","","","","","","","","","","",""
"Seattle","Washington","WA","seattle","geospatial_open_data","Seattle Washington geospatial_open_data public directory","Seattle WA geospatial_open_data official","Seattle geospatial_open_data open data","Seattle geospatial_open_data registry","Seattle geospatial_open_data organizations","","","","","","","","","","","","",""
"Seattle","Washington","WA","seattle","transit_and_location_data","Seattle Washington transit_and_location_data public directory","Seattle WA transit_and_location_data official","Seattle transit_and_location_data open data","Seattle transit_and_location_data registry","Seattle transit_and_location_data organizations","","","","","","","","","","","","",""
"Seattle","Washington","WA","seattle","public_safety_and_civic_resources","Seattle Washington public_safety_and_civic_resources public directory","Seattle WA public_safety_and_civic_resources official","Seattle public_safety_and_civic_resources open data","Seattle public_safety_and_civic_resources registry","Seattle public_safety_and_civic_resources organizations","","","","","","","","","","","","",""
"Seattle","Washington","WA","seattle","tourism_and_visitor_bureau","Seattle Washington tourism_and_visitor_bureau public directory","Seattle WA tourism_and_visitor_bureau official","Seattle tourism_and_visitor_bureau open data","Seattle tourism_and_visitor_bureau registry","Seattle tourism_and_visitor_bureau organizations","","","","","","","","","","","","",""
"Seattle","Washington","WA","seattle","neighborhood_districts","Seattle Washington neighborhood_districts public directory","Seattle WA neighborhood_districts official","Seattle neighborhood_districts open data","Seattle neighborhood_districts registry","Seattle neighborhood_districts organizations","","","","","","","","","","","","",""
"Seattle","Washington","WA","seattle","local_nonprofits","Seattle Washington local_nonprofits public directory","Seattle WA local_nonprofits official","Seattle local_nonprofits open data","Seattle local_nonprofits registry","Seattle local_nonprofits organizations","","","","","","","","","","","","",""
