"city","in_city_map_system","lock_status","verified_layers","required_layers","saturation_percent","status"
"Akron","False","locked","14","14","100","drift_not_in_city_map"
"Albuquerque","False","locked","14","14","100","drift_not_in_city_map"
"Allentown","False","locked","14","14","100","drift_not_in_city_map"
"Ann Arbor","False","locked","14","14","100","drift_not_in_city_map"
"Aurora","False","locked","14","14","100","drift_not_in_city_map"
"Austin","False","locked","14","14","100","drift_not_in_city_map"
"Bellevue","False","locked","14","14","100","drift_not_in_city_map"
"Bloomington","False","locked","14","14","100","drift_not_in_city_map"
"Boise","False","locked","14","14","100","drift_not_in_city_map"
"Chandler","False","locked","14","14","100","drift_not_in_city_map"
"Charlotte","False","locked","14","14","100","drift_not_in_city_map"
"Cincinnati","False","locked","14","14","100","drift_not_in_city_map"
"Cleveland","False","locked","14","14","100","drift_not_in_city_map"
"Colorado Springs","False","locked","14","14","100","drift_not_in_city_map"
"Columbus","False","locked","14","14","100","drift_not_in_city_map"
"Dallas","False","locked","14","14","100","drift_not_in_city_map"
"Denver","False","locked","14","14","100","drift_not_in_city_map"
"Detroit","False","locked","14","14","100","drift_not_in_city_map"
"Duluth","False","locked","14","14","100","drift_not_in_city_map"
"Durham","False","locked","14","14","100","drift_not_in_city_map"
"El Paso","False","locked","14","14","100","drift_not_in_city_map"
"Erie","False","locked","14","14","100","drift_not_in_city_map"
"Eugene","False","locked","14","14","100","drift_not_in_city_map"
"Flint","False","locked","14","14","100","drift_not_in_city_map"
"Fort Collins","False","locked","14","14","100","drift_not_in_city_map"
"Fort Worth","False","locked","14","14","100","drift_not_in_city_map"
"Fresno","False","locked","14","14","100","drift_not_in_city_map"
"Grand Rapids","False","locked","14","14","100","drift_not_in_city_map"
"Greensboro","False","locked","14","14","100","drift_not_in_city_map"
"Gresham","False","locked","14","14","100","drift_not_in_city_map"
"Henderson","False","locked","14","14","100","drift_not_in_city_map"
"Hillsboro","False","locked","14","14","100","drift_not_in_city_map"
"Houston","False","locked","14","14","100","drift_not_in_city_map"
"Idaho Falls","False","locked","14","14","100","drift_not_in_city_map"
"Jacksonville","False","locked","14","14","100","drift_not_in_city_map"
"Lakewood","False","locked","14","14","100","drift_not_in_city_map"
"Lansing","False","locked","14","14","100","drift_not_in_city_map"
"Las Cruces","False","locked","14","14","100","drift_not_in_city_map"
"Las Vegas","False","locked","14","14","100","drift_not_in_city_map"
"Los Angeles","False","locked","14","14","100","drift_not_in_city_map"
"Meridian","False","locked","14","14","100","drift_not_in_city_map"
"Mesa","False","locked","14","14","100","drift_not_in_city_map"
"Miami","False","locked","14","14","100","drift_not_in_city_map"
"Minneapolis","False","locked","14","14","100","drift_not_in_city_map"
"Nampa","False","locked","14","14","100","drift_not_in_city_map"
"North Las Vegas","False","locked","14","14","100","drift_not_in_city_map"
"Orem","False","locked","14","14","100","drift_not_in_city_map"
"Orlando","False","locked","14","14","100","drift_not_in_city_map"
"Philadelphia","False","locked","14","14","100","drift_not_in_city_map"
"Phoenix","False","locked","14","14","100","drift_not_in_city_map"
"Pittsburgh","False","locked","14","14","100","drift_not_in_city_map"
"Pocatello","False","locked","14","14","100","drift_not_in_city_map"
"Portland","False","locked","14","14","100","drift_not_in_city_map"
"Provo","False","locked","14","14","100","drift_not_in_city_map"
"Raleigh","False","locked","14","14","100","drift_not_in_city_map"
"Reading","False","locked","14","14","100","drift_not_in_city_map"
"Reno","False","locked","14","14","100","drift_not_in_city_map"
"Rio Rancho","False","locked","14","14","100","drift_not_in_city_map"
"Rochester","False","locked","14","14","100","drift_not_in_city_map"
"Roswell","False","locked","14","14","100","drift_not_in_city_map"
"Sacramento","False","locked","14","14","100","drift_not_in_city_map"
"Salem","False","locked","14","14","100","drift_not_in_city_map"
"Salt Lake City","False","locked","14","14","100","drift_not_in_city_map"
"San Diego","False","locked","14","14","100","drift_not_in_city_map"
"San Jose","False","locked","14","14","100","drift_not_in_city_map"
"Santa Fe","False","locked","14","14","100","drift_not_in_city_map"
"Scottsdale","False","locked","14","14","100","drift_not_in_city_map"
"Seattle","False","locked","14","14","100","drift_not_in_city_map"
"Sparks","False","locked","14","14","100","drift_not_in_city_map"
"Spokane","False","locked","14","14","100","drift_not_in_city_map"
"St Paul","False","locked","14","14","100","drift_not_in_city_map"
"St Petersburg","False","locked","14","14","100","drift_not_in_city_map"
"Tacoma","False","locked","14","14","100","drift_not_in_city_map"
"Tampa","False","locked","14","14","100","drift_not_in_city_map"
"Toledo","False","locked","14","14","100","drift_not_in_city_map"
"Tucson","False","locked","14","14","100","drift_not_in_city_map"
"Vancouver","False","locked","14","14","100","drift_not_in_city_map"
"West Jordan","False","locked","14","14","100","drift_not_in_city_map"
"West Valley City","False","locked","14","14","100","drift_not_in_city_map"
"Winston-Salem","False","locked","14","14","100","drift_not_in_city_map"
