"check","passed","details"
"manifest_count_equals_116","True","manifest=116"
"canonical_count_equals_116","True","canonical=116"
"cross_reference_count_equals_116","True","cross=116"
"processed_count_equals_116","True","processed=116"
"unprocessed_count_zero","True","unprocessed=0"
"duplicate_city_ids_zero","True","duplicates=0"
"duplicate_canonical_names_zero","True","duplicates=0"
"missing_tile_urls_zero","True","missing=0"
"bad_tile_url_city_id_refs_zero","True","bad=0"
"unmatched_cross_reference_zero","True","unmatched=0"
