"Runtime","Path","Status","ContentType","Bytes","StartsHtml"
"local","/","200","text/html","19939","True"
"local","/scene.js","200","text/javascript","22301","False"
"local","/globe/core.js","200","text/javascript","30615","False"
"local","/globe/textures.js","200","text/javascript","6680","False"
"local","/globe/layers.js","200","text/javascript","20188","False"
"local","/globe/umbra_data.v1.js","200","text/javascript","16235","False"
"local","/assets/earth_day_16k.jpg","FAIL","","0",""
"local","/assets/earthatnight2012.png","FAIL","","0",""
"local","/assets/starfield_8k.png","FAIL","","0",""
"local","/assets/earth_client_base.png","FAIL","","0",""
"local","/data/clients/black_dragon/black_dragon_pass4_outreach_enabled.json","200","application/json","1937965","False"
"local","/data/clients/black_dragon/national/map/runtime/national_map_nodes.v1.json","200","application/json","1909489","False"
