"Runtime","Path","Status","ContentType","Bytes","StartsHtml"
"remote","/","200","text/html","19939","True"
"remote","/scene.js","200","text/javascript","22301","False"
"remote","/globe/core.js","200","text/javascript","30615","False"
"remote","/globe/textures.js","200","text/javascript","6680","False"
"remote","/globe/layers.js","200","text/javascript","20188","False"
"remote","/globe/umbra_data.v1.js","200","text/javascript","16235","False"
"remote","/assets/earth_day_16k.jpg","FAIL","","0",""
"remote","/assets/earthatnight2012.png","FAIL","","0",""
"remote","/assets/starfield_8k.png","FAIL","","0",""
"remote","/assets/earth_client_base.png","FAIL","","0",""
"remote","/data/clients/black_dragon/black_dragon_pass4_outreach_enabled.json","200","application/json","1937965","False"
"remote","/data/clients/black_dragon/national/map/runtime/national_map_nodes.v1.json","200","application/json","1909489","False"
