"Name","FullName","Length","MatchedCities"
"quarantined_synthetic_entities.v1.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\authentication\quarantine\active\quarantined_synthetic_entities.v1.json","1836170","Long Beach, Los Angeles, San Diego, Phoenix, Scottsdale, Mesa, Tucson, Las Vegas"
"entity_authentication_queue.v1.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\authentication\queues\entity_authentication_queue.v1.json","1998525","Long Beach, Los Angeles, San Diego, Phoenix, Scottsdale, Mesa, Tucson, Las Vegas, Henderson"
"verified_runtime_candidates.v1.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\authentication\verified_runtime\verified_runtime_candidates.v1.json","1470080","Long Beach, Los Angeles, San Diego, Phoenix, Scottsdale, Mesa, Tucson, Las Vegas, Henderson"
"runtime_snapshot_history_index.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\automation\history\runtime_snapshot_history_index.json","440","Long Beach"
"runtime_mutation_log.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\automation\mutation_logs\runtime_mutation_log.json","1053","Long Beach"
"runtime_delta_feed_template.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\automation\runtime_delta\runtime_delta_feed_template.json","506","Long Beach"
"long_beach_runtime_snapshot_post_batch_127.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\automation\snapshots\long_beach_runtime_snapshot_post_batch_127.json","2423","Long Beach"
"black_dragon_city_coverage_report.v1.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\black_dragon_city_coverage_report.v1.json","53383","Long Beach, Los Angeles, San Diego, Phoenix, Mesa, Tucson, Las Vegas"
"black_dragon_city_expansion_candidates.v1.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\black_dragon_city_expansion_candidates.v1.json","92237","Long Beach, Los Angeles, San Diego, Phoenix, Mesa, Tucson, Las Vegas"
"black_dragon_city_index.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\black_dragon_city_index.json","13868","Los Angeles, Phoenix"
"black_dragon_major_city_targets.expanded_review.v1.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\black_dragon_major_city_targets.expanded_review.v1.json","110955","Long Beach, Los Angeles, San Diego, Phoenix, Mesa, Tucson, Las Vegas"
"black_dragon_major_city_targets.phase2_plus_ca_fl.v1.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\black_dragon_major_city_targets.phase2_plus_ca_fl.v1.json","182358","Long Beach, Los Angeles, San Diego, Phoenix, Mesa, Tucson, Las Vegas"
"black_dragon_major_city_targets.phase2_review.v1.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\black_dragon_major_city_targets.phase2_review.v1.json","125544","Long Beach, Los Angeles, San Diego, Phoenix, Mesa, Tucson, Las Vegas"
"black_dragon_major_city_targets.v1.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\black_dragon_major_city_targets.v1.json","22579","Long Beach, Los Angeles, San Diego, Phoenix, Mesa, Tucson, Las Vegas"
"book_propagation_map_layer.v1.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\books\map\layers\book_propagation_map_layer.v1.json","1402176","Long Beach, Los Angeles, San Diego, Phoenix, Scottsdale, Mesa, Tucson, Las Vegas, Henderson"
