"Path","LineNumber","Line"
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_backbone_integrity_audit.js","4","const OUT = ""public/data/intelligence/audit/backbone_integrity_audit.json"";"
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_backbone_integrity_audit.js","18","  status: missing.length === 0 ? ""PASS"" : ""REVIEW_REQUIRED"","
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_connector_health_monitor.js","19","    health_status: c.implementation_status === ""CONNECTOR_STUB_READY"" ? ""STUB_HEALTHY"" : ""REVIEW_REQUIRED"""
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_first_5_layer_operational_audit.js","4","const OUT = ""public/data/intelligence/audit/first_5_layer_operational_audit.json"";"
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_first_5_layer_operational_audit.js","19","  version: ""nexus_first_5_layer_operational_audit_v1"","
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_first_5_layer_operational_audit.js","21","  status: missing.length === 0 ? ""PASS"" : ""REVIEW_REQUIRED"","
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_full_system_intelligence_audit.js","4","const OUT = ""public/data/intelligence/audit/full_system_intelligence_audit.json"";"
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_full_system_intelligence_audit.js","18","  status: missing.length === 0 ? ""PASS"" : ""REVIEW_REQUIRED"","
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_fusion_integrity_audit.js","4","const OUT = ""public/data/intelligence/audit/fusion_integrity_audit.json"";"
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_fusion_integrity_audit.js","18","  status: missing.length === 0 ? ""PASS"" : ""REVIEW_REQUIRED"","
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_ingestion_integrity_audit.js","4","const OUT = ""public/data/intelligence/audit/ingestion_integrity_audit.json"";"
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_ingestion_integrity_audit.js","18","  status: missing.length === 0 ? ""PASS"" : ""REVIEW_REQUIRED"","
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_intelligence_execution_audit.js","4","const OUT = ""public/data/intelligence/audit/intelligence_execution_audit.json"";"
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_intelligence_execution_audit.js","18","  status: missing.length === 0 ? ""PASS"" : ""REVIEW_REQUIRED"","
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_L01_federal_integrity_audit.js","4","const OUT = ""public/data/intelligence/audit/L01_federal_integrity_audit.json"";"
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_L01_federal_integrity_audit.js","18","  status: missing.length === 0 ? ""PASS"" : ""REVIEW_REQUIRED"","
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_L02_state_integrity_audit.js","4","const OUT = ""public/data/intelligence/audit/L02_state_integrity_audit.json"";"
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_L02_state_integrity_audit.js","18","  status: missing.length === 0 ? ""PASS"" : ""REVIEW_REQUIRED"","
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_L03_local_agency_integrity_audit.js","4","const OUT = ""public/data/intelligence/audit/L03_local_agency_integrity_audit.json"";"
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_L03_local_agency_integrity_audit.js","18","  status: missing.length === 0 ? ""PASS"" : ""REVIEW_REQUIRED"","
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_L04_training_integrity_audit.js","4","const OUT = ""public/data/intelligence/audit/L04_training_integrity_audit.json"";"
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_L04_training_integrity_audit.js","18","  status: missing.length === 0 ? ""PASS"" : ""REVIEW_REQUIRED"","
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_L05_budget_integrity_audit.js","4","const OUT = ""public/data/intelligence/audit/L05_budget_integrity_audit.json"";"
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_L05_budget_integrity_audit.js","18","  status: missing.length === 0 ? ""PASS"" : ""REVIEW_REQUIRED"","
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_L06_behavioral_integrity_audit.js","4","const OUT = ""public/data/intelligence/audit/L06_behavioral_integrity_audit.json"";"
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_L06_behavioral_integrity_audit.js","18","  status: missing.length === 0 ? ""PASS"" : ""REVIEW_REQUIRED"","
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_L07_geographic_integrity_audit.js","4","const OUT = ""public/data/intelligence/audit/L07_geographic_integrity_audit.json"";"
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_L07_geographic_integrity_audit.js","18","  status: missing.length === 0 ? ""PASS"" : ""REVIEW_REQUIRED"","
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_L08_command_integrity_audit.js","4","const OUT = ""public/data/intelligence/audit/L08_command_integrity_audit.json"";"
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_L08_command_integrity_audit.js","18","  status: missing.length === 0 ? ""PASS"" : ""REVIEW_REQUIRED"","
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_L09_procurement_integrity_audit.js","4","const OUT = ""public/data/intelligence/audit/L09_procurement_integrity_audit.json"";"
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_L09_procurement_integrity_audit.js","18","  status: missing.length === 0 ? ""PASS"" : ""REVIEW_REQUIRED"","
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_L10_communication_confidence_weighting.js","86","      ""REVIEW_REQUIRED"","
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_L10_communication_integrity_audit.js","4","const OUT = ""public/data/intelligence/audit/L10_communication_integrity_audit.json"";"
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_L10_communication_integrity_audit.js","18","  status: missing.length === 0 ? ""PASS"" : ""REVIEW_REQUIRED"","
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_L10_communication_scoring_registry.js","21","      description: ""Strength of alternate routing if the primary path fails"""
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_L11_incident_risk_integrity_audit.js","4","const OUT = ""public/data/intelligence/audit/L11_incident_risk_integrity_audit.json"";"
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_L11_incident_risk_integrity_audit.js","18","  status: missing.length === 0 ? ""PASS"" : ""REVIEW_REQUIRED"","
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_L12_engagement_integrity_audit.js","4","const OUT = ""public/data/intelligence/audit/L12_engagement_integrity_audit.json"";"
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_L12_engagement_integrity_audit.js","18","  status: missing.length === 0 ? ""PASS"" : ""REVIEW_REQUIRED"","
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_live_connector_implementation_audit.js","4","const OUT = ""public/data/intelligence/audit/live_connector_implementation_audit.json"";"
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_live_connector_implementation_audit.js","22","  status: missing.length === 0 ? ""PASS"" : ""REVIEW_REQUIRED"","
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_live_runtime_fusion_audit.js","4","const OUT = ""public/data/intelligence/audit/live_runtime_fusion_audit.json"";"
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_live_runtime_fusion_audit.js","22","  status: missing.length === 0 ? ""PASS"" : ""REVIEW_REQUIRED"","
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_live_runtime_fusion_audit.js","27","  live_connector_note: ""PASS means live-engine structure exists. It does not mean external connectors are pulling live source data yet."""
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_production_coverage_audit.js","4","const OUT = ""public/data/intelligence/audit/production_coverage_audit.json"";"
"C:\Dev\Nexus_MASTER\scripts\intelligence\build_production_coverage_audit.js","22","  status: missing.length === 0 && gap.high_severity === 0 ? ""PASS"" : ""REVIEW_REQUIRED"","
