import_row_id,discovery_task_id,category,target_type,source_type,organization_seed,city,region,country,search_query,source_url,source_title,discovered_organization_name,contact_route,contact_route_type,contact_person_or_role,lat,lon,founder_review_notes,import_status,forbidden
"BD_SOURCE_IMPORT_ROW_000001","BD_REAL_DISCOVERY_000001","LAW_ENFORCEMENT_TRAINING","TRAINING_AUTHORITY","OFFICIAL_STATE_SOURCE","State POST Academies","New York City","NY","USA","State POST Academies New York City NY","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000002","BD_REAL_DISCOVERY_000002","LAW_ENFORCEMENT_TRAINING","ASSOCIATION","OFFICIAL_ASSOCIATION_SOURCE","Sheriff Associations","New York City","NY","USA","Sheriff Associations New York City NY","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000003","BD_REAL_DISCOVERY_000003","LAW_ENFORCEMENT_TRAINING","CONFERENCE","PUBLIC_EVENT_SOURCE","Police Training Conferences","New York City","NY","USA","Police Training Conferences New York City NY","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000004","BD_REAL_DISCOVERY_000004","MOTORCYCLE_COMMUNITY","DEALERSHIP","PUBLIC_BUSINESS_SOURCE","Motorcycle Dealerships","New York City","NY","USA","Motorcycle Dealerships New York City NY","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000005","BD_REAL_DISCOVERY_000005","MOTORCYCLE_COMMUNITY","ASSOCIATION","PUBLIC_ASSOCIATION_SOURCE","Rider Associations","New York City","NY","USA","Rider Associations New York City NY","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000006","BD_REAL_DISCOVERY_000006","MOTORCYCLE_COMMUNITY","EVENT_ORGANIZER","PUBLIC_EVENT_SOURCE","Motorcycle Rally Organizers","New York City","NY","USA","Motorcycle Rally Organizers New York City NY","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000007","BD_REAL_DISCOVERY_000007","VETERAN_ECOSYSTEM","VETERAN_ORGANIZATION","PUBLIC_VETERAN_SOURCE","VFW Posts","New York City","NY","USA","VFW Posts New York City NY","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000008","BD_REAL_DISCOVERY_000008","VETERAN_ECOSYSTEM","VETERAN_ORGANIZATION","PUBLIC_VETERAN_SOURCE","American Legion Posts","New York City","NY","USA","American Legion Posts New York City NY","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000009","BD_REAL_DISCOVERY_000009","VETERAN_ECOSYSTEM","VETERAN_RIDER_GROUP","PUBLIC_ASSOCIATION_SOURCE","Combat Veteran Motorcycle Associations","New York City","NY","USA","Combat Veteran Motorcycle Associations New York City NY","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
"BD_SOURCE_IMPORT_ROW_000010","BD_REAL_DISCOVERY_000010","LAW_ENFORCEMENT_TRAINING","TRAINING_AUTHORITY","OFFICIAL_STATE_SOURCE","State POST Academies","Los Angeles","CA","USA","State POST Academies Los Angeles CA","","","","","","","","","","AWAITING_REAL_SOURCE_INPUT","NO_PLACEHOLDERS_NO_GENERATED_CONTACTS_NO_PRIVATE_PERSONAL_DATA"
