"source_url","source_title","source_category","city","state","organization_name_or_dataset_name","evidence_text","retrieved_at","manual_review_status","address","latitude","longitude","website","public_phone","public_email","source_notes"
"","","city_government_directory","Houston","Texas","","","2026-05-11T08:05:14.4557535Z","PENDING_REVIEW","",,,"","","",""
"","","business_registry","Houston","Texas","","","2026-05-11T08:05:14.4557535Z","PENDING_REVIEW","",,,"","","",""
"","","chamber_of_commerce","Houston","Texas","","","2026-05-11T08:05:14.4557535Z","PENDING_REVIEW","",,,"","","",""
"","","local_media_directory","Houston","Texas","","","2026-05-11T08:05:14.4557535Z","PENDING_REVIEW","",,,"","","",""
"","","education_institutions","Houston","Texas","","","2026-05-11T08:05:14.4557535Z","PENDING_REVIEW","",,,"","","",""
"","","community_organizations","Houston","Texas","","","2026-05-11T08:05:14.4557535Z","PENDING_REVIEW","",,,"","","",""
"","","venue_and_events","Houston","Texas","","","2026-05-11T08:05:14.4557535Z","PENDING_REVIEW","",,,"","","",""
"","","retail_and_dealers","Houston","Texas","","","2026-05-11T08:05:14.4557535Z","PENDING_REVIEW","",,,"","","",""
"","","clubs_and_associations","Houston","Texas","","","2026-05-11T08:05:14.4557535Z","PENDING_REVIEW","",,,"","","",""
"","","geospatial_open_data","Houston","Texas","","","2026-05-11T08:05:14.4557535Z","PENDING_REVIEW","",,,"","","",""
"","","transit_and_location_data","Houston","Texas","","","2026-05-11T08:05:14.4557535Z","PENDING_REVIEW","",,,"","","",""
"","","public_safety_and_civic_resources","Houston","Texas","","","2026-05-11T08:05:14.4557535Z","PENDING_REVIEW","",,,"","","",""
"","","tourism_and_visitor_bureau","Houston","Texas","","","2026-05-11T08:05:14.4557535Z","PENDING_REVIEW","",,,"","","",""
"","","neighborhood_districts","Houston","Texas","","","2026-05-11T08:05:14.4557535Z","PENDING_REVIEW","",,,"","","",""
"","","local_nonprofits","Houston","Texas","","","2026-05-11T08:05:14.4557535Z","PENDING_REVIEW","",,,"","","",""
