"city","state","state_code","folder","category","acquisition_query_1","acquisition_query_2","acquisition_query_3","acquisition_query_4","acquisition_query_5","source_name","source_url","source_type","service_area","evidence_text","reviewed","accepted_for_import","rejected","rejection_reason","city_local_verified","provenance_verified","category_verified","notes"
"New Orleans","Louisiana","LA","new_orleans","city_government_directory","New Orleans Louisiana city_government_directory public directory","New Orleans LA city_government_directory official","New Orleans city_government_directory open data","New Orleans city_government_directory registry","New Orleans city_government_directory organizations","","","","","","","","","","","","",""
"New Orleans","Louisiana","LA","new_orleans","business_registry","New Orleans Louisiana business_registry public directory","New Orleans LA business_registry official","New Orleans business_registry open data","New Orleans business_registry registry","New Orleans business_registry organizations","","","","","","","","","","","","",""
"New Orleans","Louisiana","LA","new_orleans","chamber_of_commerce","New Orleans Louisiana chamber_of_commerce public directory","New Orleans LA chamber_of_commerce official","New Orleans chamber_of_commerce open data","New Orleans chamber_of_commerce registry","New Orleans chamber_of_commerce organizations","","","","","","","","","","","","",""
"New Orleans","Louisiana","LA","new_orleans","local_media_directory","New Orleans Louisiana local_media_directory public directory","New Orleans LA local_media_directory official","New Orleans local_media_directory open data","New Orleans local_media_directory registry","New Orleans local_media_directory organizations","","","","","","","","","","","","",""
"New Orleans","Louisiana","LA","new_orleans","education_institutions","New Orleans Louisiana education_institutions public directory","New Orleans LA education_institutions official","New Orleans education_institutions open data","New Orleans education_institutions registry","New Orleans education_institutions organizations","","","","","","","","","","","","",""
"New Orleans","Louisiana","LA","new_orleans","community_organizations","New Orleans Louisiana community_organizations public directory","New Orleans LA community_organizations official","New Orleans community_organizations open data","New Orleans community_organizations registry","New Orleans community_organizations organizations","","","","","","","","","","","","",""
"New Orleans","Louisiana","LA","new_orleans","venue_and_events","New Orleans Louisiana venue_and_events public directory","New Orleans LA venue_and_events official","New Orleans venue_and_events open data","New Orleans venue_and_events registry","New Orleans venue_and_events organizations","","","","","","","","","","","","",""
"New Orleans","Louisiana","LA","new_orleans","retail_and_dealers","New Orleans Louisiana retail_and_dealers public directory","New Orleans LA retail_and_dealers official","New Orleans retail_and_dealers open data","New Orleans retail_and_dealers registry","New Orleans retail_and_dealers organizations","","","","","","","","","","","","",""
"New Orleans","Louisiana","LA","new_orleans","clubs_and_associations","New Orleans Louisiana clubs_and_associations public directory","New Orleans LA clubs_and_associations official","New Orleans clubs_and_associations open data","New Orleans clubs_and_associations registry","New Orleans clubs_and_associations organizations","","","","","","","","","","","","",""
"New Orleans","Louisiana","LA","new_orleans","geospatial_open_data","New Orleans Louisiana geospatial_open_data public directory","New Orleans LA geospatial_open_data official","New Orleans geospatial_open_data open data","New Orleans geospatial_open_data registry","New Orleans geospatial_open_data organizations","","","","","","","","","","","","",""
"New Orleans","Louisiana","LA","new_orleans","transit_and_location_data","New Orleans Louisiana transit_and_location_data public directory","New Orleans LA transit_and_location_data official","New Orleans transit_and_location_data open data","New Orleans transit_and_location_data registry","New Orleans transit_and_location_data organizations","","","","","","","","","","","","",""
"New Orleans","Louisiana","LA","new_orleans","public_safety_and_civic_resources","New Orleans Louisiana public_safety_and_civic_resources public directory","New Orleans LA public_safety_and_civic_resources official","New Orleans public_safety_and_civic_resources open data","New Orleans public_safety_and_civic_resources registry","New Orleans public_safety_and_civic_resources organizations","","","","","","","","","","","","",""
"New Orleans","Louisiana","LA","new_orleans","tourism_and_visitor_bureau","New Orleans Louisiana tourism_and_visitor_bureau public directory","New Orleans LA tourism_and_visitor_bureau official","New Orleans tourism_and_visitor_bureau open data","New Orleans tourism_and_visitor_bureau registry","New Orleans tourism_and_visitor_bureau organizations","","","","","","","","","","","","",""
"New Orleans","Louisiana","LA","new_orleans","neighborhood_districts","New Orleans Louisiana neighborhood_districts public directory","New Orleans LA neighborhood_districts official","New Orleans neighborhood_districts open data","New Orleans neighborhood_districts registry","New Orleans neighborhood_districts organizations","","","","","","","","","","","","",""
"New Orleans","Louisiana","LA","new_orleans","local_nonprofits","New Orleans Louisiana local_nonprofits public directory","New Orleans LA local_nonprofits official","New Orleans local_nonprofits open data","New Orleans local_nonprofits registry","New Orleans local_nonprofits organizations","","","","","","","","","","","","",""
