"source_url","source_title","source_category","city","state","organization_name_or_dataset_name","evidence_text","retrieved_at","manual_review_status","address","latitude","longitude","website","public_phone","public_email","source_notes"
"","","city_government_directory","San Antonio","Texas","","","2026-05-11T08:05:14.3541499Z","PENDING_REVIEW","",,,"","","",""
"","","business_registry","San Antonio","Texas","","","2026-05-11T08:05:14.3541499Z","PENDING_REVIEW","",,,"","","",""
"","","chamber_of_commerce","San Antonio","Texas","","","2026-05-11T08:05:14.3541499Z","PENDING_REVIEW","",,,"","","",""
"","","local_media_directory","San Antonio","Texas","","","2026-05-11T08:05:14.3541499Z","PENDING_REVIEW","",,,"","","",""
"","","education_institutions","San Antonio","Texas","","","2026-05-11T08:05:14.3541499Z","PENDING_REVIEW","",,,"","","",""
"","","community_organizations","San Antonio","Texas","","","2026-05-11T08:05:14.3541499Z","PENDING_REVIEW","",,,"","","",""
"","","venue_and_events","San Antonio","Texas","","","2026-05-11T08:05:14.3541499Z","PENDING_REVIEW","",,,"","","",""
"","","retail_and_dealers","San Antonio","Texas","","","2026-05-11T08:05:14.3541499Z","PENDING_REVIEW","",,,"","","",""
"","","clubs_and_associations","San Antonio","Texas","","","2026-05-11T08:05:14.3541499Z","PENDING_REVIEW","",,,"","","",""
"","","geospatial_open_data","San Antonio","Texas","","","2026-05-11T08:05:14.3541499Z","PENDING_REVIEW","",,,"","","",""
"","","transit_and_location_data","San Antonio","Texas","","","2026-05-11T08:05:14.3541499Z","PENDING_REVIEW","",,,"","","",""
"","","public_safety_and_civic_resources","San Antonio","Texas","","","2026-05-11T08:05:14.3541499Z","PENDING_REVIEW","",,,"","","",""
"","","tourism_and_visitor_bureau","San Antonio","Texas","","","2026-05-11T08:05:14.3541499Z","PENDING_REVIEW","",,,"","","",""
"","","neighborhood_districts","San Antonio","Texas","","","2026-05-11T08:05:14.3541499Z","PENDING_REVIEW","",,,"","","",""
"","","local_nonprofits","San Antonio","Texas","","","2026-05-11T08:05:14.3541499Z","PENDING_REVIEW","",,,"","","",""
