"source_url","source_title","source_category","city","state","organization_name_or_dataset_name","evidence_text","retrieved_at","manual_review_status","address","latitude","longitude","website","public_phone","public_email","source_notes"
"","","city_government_directory","Seattle","Washington","","","2026-05-11T08:05:14.4316736Z","PENDING_REVIEW","",,,"","","",""
"","","business_registry","Seattle","Washington","","","2026-05-11T08:05:14.4316736Z","PENDING_REVIEW","",,,"","","",""
"","","chamber_of_commerce","Seattle","Washington","","","2026-05-11T08:05:14.4316736Z","PENDING_REVIEW","",,,"","","",""
"","","local_media_directory","Seattle","Washington","","","2026-05-11T08:05:14.4316736Z","PENDING_REVIEW","",,,"","","",""
"","","education_institutions","Seattle","Washington","","","2026-05-11T08:05:14.4316736Z","PENDING_REVIEW","",,,"","","",""
"","","community_organizations","Seattle","Washington","","","2026-05-11T08:05:14.4316736Z","PENDING_REVIEW","",,,"","","",""
"","","venue_and_events","Seattle","Washington","","","2026-05-11T08:05:14.4316736Z","PENDING_REVIEW","",,,"","","",""
"","","retail_and_dealers","Seattle","Washington","","","2026-05-11T08:05:14.4316736Z","PENDING_REVIEW","",,,"","","",""
"","","clubs_and_associations","Seattle","Washington","","","2026-05-11T08:05:14.4316736Z","PENDING_REVIEW","",,,"","","",""
"","","geospatial_open_data","Seattle","Washington","","","2026-05-11T08:05:14.4316736Z","PENDING_REVIEW","",,,"","","",""
"","","transit_and_location_data","Seattle","Washington","","","2026-05-11T08:05:14.4316736Z","PENDING_REVIEW","",,,"","","",""
"","","public_safety_and_civic_resources","Seattle","Washington","","","2026-05-11T08:05:14.4316736Z","PENDING_REVIEW","",,,"","","",""
"","","tourism_and_visitor_bureau","Seattle","Washington","","","2026-05-11T08:05:14.4316736Z","PENDING_REVIEW","",,,"","","",""
"","","neighborhood_districts","Seattle","Washington","","","2026-05-11T08:05:14.4316736Z","PENDING_REVIEW","",,,"","","",""
"","","local_nonprofits","Seattle","Washington","","","2026-05-11T08:05:14.4316736Z","PENDING_REVIEW","",,,"","","",""
